Year,Race Name,Driver
2022,Dutch Grand Prix,Max Verstappen
2022,Italian Grand Prix,Nyck de Vries
2022,Singapore Grand Prix,Sergio Pérez
2022,Japanese Grand Prix,Sebastian Vettel
2022,United States Grand Prix,Sebastian Vettel
2022,Mexico City Grand Prix,Daniel Ricciardo
2022,São Paulo Grand Prix,Lewis Hamilton
2022,Abu Dhabi Grand Prix,Sebastian Vettel
2023,Bahrain Grand Prix,Fernando Alonso
2023,Saudi Arabian Grand Prix,Max Verstappen
2023,Australian Grand Prix,Sergio Pérez
2023,Azerbaijan Grand Prix,Sergio Pérez
2023,Miami Grand Prix,Max Verstappen
2023,Monaco Grand Prix,Esteban Ocon
2023,Spanish Grand Prix,Lewis Hamilton
2023,Canadian Grand Prix,Alexander Albon
2023,Austrian Grand Prix,Lando Norris
2023,British Grand Prix,Lando Norris
2023,Hungarian Grand Prix,Sergio Pérez
2023,Belgian Grand Prix,Max Verstappen
2023,Dutch Grand Prix,Fernando Alonso
2023,Italian Grand Prix,Carlos Sainz Jr.
2023,Singapore Grand Prix,Carlos Sainz Jr.
2023,Japanese Grand Prix,Oscar Piastri
2023,Qatar Grand Prix,Oscar Piastri
2023,United States Grand Prix,Lando Norris
2023,Mexico City Grand Prix,Lando Norris
2023,São Paulo Grand Prix,Lando Norris
2023,Las Vegas Grand Prix,Charles Leclerc
2023,Abu Dhabi Grand Prix,Yuki Tsunoda
2024,Bahrain Grand Prix,Carlos Sainz Jr.
2024,Saudi Arabian Grand Prix,Oliver Bearman
2024,Australian Grand Prix,Carlos Sainz Jr.
2024,Japanese Grand Prix,Charles Leclerc
2024,Chinese Grand Prix,Lando Norris
2024,Miami Grand Prix,Lando Norris
2024,Emilia Romagna Grand Prix,Lando Norris
2024,Monaco Grand Prix,Charles Leclerc
2024,Canadian Grand Prix,Lando Norris
2024,Spanish Grand Prix,Lando Norris
